Total_NOx [nmol/mol],O3_ss_NO_only [nmol/mol],O3_ss_NO2_only [nmol/mol],O3_ss_equal_NO_NO2 [nmol/mol]
0,0.0,0.0,0.0
1,0.0,0.9160797830996161,0.45635610525666337
2,0.0,1.7082039324993694,0.8442887702247601
3,0.0,2.416198487095663,1.1827123119310237
4,0.0,3.062257748298549,1.4833147735478827
5,0.0,3.6602540378443873,1.7539052967910607
6,0.0,4.219544457292887,2.0
7,0.0,4.746794344808963,2.22566153550812
8,0.0,5.246950765959598,2.433981132056603
9,0.0,5.723805294763608,2.627373132569206
10,0.0,6.180339887498949,2.807764064044152
11,0.0,6.61895003862225,2.9767189764624664
12,0.0,7.041594578792296,3.135528725660043
13,0.0,7.449899597988733,3.285271995059327
14,0.0,7.845232578665129,3.4268604418765634
15,0.0,8.228756555322953,3.561072252245131
16,0.0,8.601470508735444,3.6885775404495202
17,0.0,8.96424004376894,3.809957886608977
18,0.0,9.317821063276353,3.9257215820975517
19,0.0,9.66287829861518,4.036315678962238
20,0.0,10.0,4.142135623730951
21,0.0,10.329709716755891,4.243533040635745
22,0.0,10.652475842498529,4.34082207965583
23,0.0,10.968719422671311,4.434284639060214
24,0.0,11.278820596099706,4.524174696260024
25,0.0,11.583123951777,4.610721925561901
26,0.0,11.881943016134134,4.694134740701646
27,0.0,12.175564037317667,4.77460286966074
28,0.0,12.464249196572979,4.852299546352718
29,0.0,12.74823934929885,4.927383386301884
30,0.0,13.027756377319946,5.0
31,0.0,13.303005217723125,5.070283387196735
32,0.0,13.57417562100671,5.138357147217054
33,0.0,13.841443681416774,5.2043355339605775
34,0.0,14.104973174542799,5.2683243791234595
35,0.0,14.364916731037084,5.3304219030921836
36,0.0,14.621416870348583,5.390719429665317
37,0.0,14.87460691435179,5.44930201809191
38,0.0,15.124611797498108,5.506249023742555
39,0.0,15.371548787463361,5.561634596949602
40,0.0,15.615528128088304,5.615528128088304
41,0.0,15.85665361461421,5.667994645758949
42,0.0,16.095023109728988,5.719095173922945
43,0.0,16.330729007701542,5.768887053005319
44,0.0,16.563858652847824,5.8174242292714275
45,0.0,16.79449471770337,5.864757516192665
46,0.0,17.02271554554524,5.91093483101497
47,0.0,17.24859546128699,5.956001409319079
48,0.0,17.47220505424423,6.0
49,0.0,17.693611435820433,6.042971042784558
50,0.0,17.9128784747792,6.084952830141511
